url,active,validated,manually_checked_api,suspected_api,api_working,api_version,error_type
fgd.gsi.go.jp,False,False,,,,,['HTTPS and HTTP requests failed']
form.omni.serpro.gov.br,False,False,,,,,['HTTPS and HTTP requests failed']
fortress.wa.gov,False,False,,,,,['HTTPS and HTTP requests failed']
fox59.com,False,False,,,,,['HTTPS and HTTP requests failed']
fox5sandiego.com,False,False,,,,,['HTTPS and HTTP requests failed']
fox8.com,False,False,,,,,['HTTPS and HTTP requests failed']
freebase.com,False,False,,,,,['HTTPS and HTTP requests failed']
ftp.datagrandest.fr,False,False,,,,,['HTTPS and HTTP requests failed']
ftp:,False,False,,,,,['HTTPS and HTTP requests failed']
future4care.opendatasoft.com,False,False,,,,,['HTTPS and HTTP requests failed']
futurist.law.umich.edu,False,False,,,,,['HTTPS and HTTP requests failed']
g20-indonesia.id,False,False,,,,,['HTTPS and HTTP requests failed']
gab-data.atlas-forestier.org,False,False,,,,,['HTTPS and HTTP requests failed']
gaceta.diputados.gob.mx,False,False,,,,,['HTTPS and HTTP requests failed']
genius.com,False,False,,,,,['HTTPS and HTTP requests failed']
geo.irceline.be,False,False,,,,,['HTTPS and HTTP requests failed']
geo.pays-de-brest.fr,False,False,,,,,['HTTPS and HTTP requests failed']
geodata.se,False,False,,,,,['HTTPS and HTTP requests failed']
geodata.utc.edu,False,False,,,,,['HTTPS and HTTP requests failed']
geolog.org.ua,False,False,,,,,['HTTPS and HTTP requests failed']
geonames.org,False,False,,,,,['HTTPS and HTTP requests failed']
geosinager.defensacivil.gob.bo,False,False,,,,,['HTTPS and HTTP requests failed']
geosrbija.rs,False,False,,,,,['HTTPS and HTTP requests failed']
geothermaldata.org,False,False,,,,,['HTTPS and HTTP requests failed']
ggmc.gov.gy,False,False,,,,,['HTTPS and HTTP requests failed']
gis.atlantaga.gov,False,False,,,,,['HTTPS and HTTP requests failed']
gis.calhouncounty.org,False,False,,,,,['HTTPS and HTTP requests failed']
gis.cravencountync.gov,False,False,,,,,['HTTPS and HTTP requests failed']
gis.glendaleaz.com,False,False,,,,,['HTTPS and HTTP requests failed']
gis.katastar.gov.mk,False,False,,,,,['HTTPS and HTTP requests failed']
gis.ms.gov,False,False,,,,,['HTTPS and HTTP requests failed']
gis.napa.ca.gov,False,False,,,,,['HTTPS and HTTP requests failed']
gis.opendata.lt,False,False,,,,,['HTTPS and HTTP requests failed']
gisdata.mn.gov,False,False,,,,,['HTTPS and HTTP requests failed']
gisdata.staffordpw.com,False,False,,,,,['HTTPS and HTTP requests failed']
gmdatastore.org.uk,False,False,,,,,['HTTPS and HTTP requests failed']
gndb.ncc.org.ir,False,False,,,,,['HTTPS and HTTP requests failed']
gnq-data.atlas-forestal.org,False,False,,,,,['HTTPS and HTTP requests failed']
gnq-data.forest-atlas.org,False,False,,,,,['HTTPS and HTTP requests failed']
gnv-grtgaz.opendatasoft.com,False,False,,,,,['HTTPS and HTTP requests failed']
go.gale.com,False,False,,,,,['HTTPS and HTTP requests failed']
gobiernoabierto.dipucadiz.es,False,False,,,,,['HTTPS and HTTP requests failed']
gobiernoabierto.gobex.es,False,False,,,,,['HTTPS and HTTP requests failed']
gobiernoabierto.juntaex.es,False,False,,,,,['HTTPS and HTTP requests failed']
govinfo.nlc.gov.cn,False,False,,,,,['HTTPS and HTTP requests failed']
gptogc.esri.com,False,False,,,,,['HTTPS and HTTP requests failed']
gsi.ir,False,False,,,,,['HTTPS and HTTP requests failed']
gso.gov.vn,False,False,,,,,['HTTPS and HTTP requests failed']
hampton.demo.socrata.com,False,False,,,,,['HTTPS and HTTP requests failed']
hcai.ca.gov,False,False,,,,,['HTTPS and HTTP requests failed']
health.data.ca.gov,False,False,,,,,['HTTPS and HTTP requests failed']
healthmeasures.aspe.hhs.gov,False,False,,,,,['HTTPS and HTTP requests failed']
hello-sunshine.com,False,False,,,,,['HTTPS and HTTP requests failed']
help.instantatlas.com,False,False,,,,,['HTTPS and HTTP requests failed']
help.reports.esriuk.com,False,False,,,,,['HTTPS and HTTP requests failed']
helsingborg.opendatasoft.com,False,False,,,,,['HTTPS and HTTP requests failed']
hidromet.com.pa,False,False,,,,,['HTTPS and HTTP requests failed']
hih-ckan-archive.neurologie.uni-tuebingen.de,False,False,,,,,['HTTPS and HTTP requests failed']
http://101.79.9.128,True,True,,CKAN,True,2.9.4,
http://103.231.194.8,True,True,,CKAN,True,2.7.7,
http://109.69.1.178:8081,True,True,,Unknown,,,
http://116.203.208.239,True,True,,CKAN,True,2.8.2,
