url,api_software,number_of_datasets,number_of_resources,timestamp
https://opendata.gov.je,CKAN,108,494,2023-08-14 01:10:47
https://opendata.gov.nt.ca,CKAN,336,544,2023-08-14 01:10:51
https://opendata.hasadna.org.il,CKAN,12,25,2023-08-14 01:10:53
https://opendata.hawaii.gov,CKAN,1038,5154,2023-08-14 01:11:01
https://opendata.hu,CKAN,69,115,2023-08-14 01:11:04
https://opendata.jena.de,CKAN,70,118,2023-08-14 01:11:06
https://opendata.leipzig.de,CKAN,,,2023-08-14 01:11:19
https://opendata.nhsbsa.net,CKAN,770,1101,2023-08-14 01:12:21
https://opendata.reus.cat,CKAN,112,268,2023-08-14 01:12:24
https://opendata.sjgov.org,CKAN,15,16,2023-08-14 01:12:27
https://opendata.swiss,CKAN,9686,36499,2023-08-14 01:13:36
https://opendata.terrassa.cat,CKAN,141,164,2023-08-14 01:13:38
https://opendata.unex.es,CKAN,136,683,2023-08-14 01:13:45
https://opendatanepal.com,CKAN,629,806,2023-08-14 01:13:49
https://opingogn.is,CKAN,118,686,2023-08-14 01:13:53
https://portaldados.ppgau.uff.br,CKAN,120,205,2023-08-14 01:14:00
https://rdm.inesctec.pt,CKAN,127,590,2023-08-14 01:14:03
https://satudata.singkawangkota.go.id,CKAN,135,183,2023-08-14 01:14:10
https://satudataindonesia.malukuprov.go.id,CKAN,17,36,2023-08-14 01:14:13
https://scmb-ckan-dev.research.dc.uq.edu.au,CKAN,1343,182581,2023-08-14 01:15:32
https://scmb-ckan.research.dc.uq.edu.au,CKAN,0,0,2023-08-14 01:15:36
https://stage-data.kimetrica.com,CKAN,195,2092,2023-08-14 01:15:39
https://statistics.ukdataservice.ac.uk,CKAN,,,2023-08-14 01:16:11
https://thai.emac.gsfc.nasa.gov,CKAN,18,63,2023-08-14 01:16:14
https://transparenz.karlsruhe.de,CKAN,128,690,2023-08-14 01:16:16
https://www.civicdata.io,CKAN,396,428,2023-08-14 01:16:21
https://www.datosabiertos.gob.pa,CKAN,4165,25423,2023-08-14 01:17:10
https://www.offenedaten.frankfurt.de,CKAN,97,706,2023-08-14 01:17:13
https://www.offenesdatenportal.de,CKAN,1119,2544,2023-08-14 01:17:18
https://www.opendata.nhs.scot,CKAN,96,817,2023-08-14 01:17:25
https://www.opentourism.net,CKAN,5,5,2023-08-14 01:17:27
https://www.resourcedata.org,CKAN,12972,13037,2023-08-14 01:18:33
