url,manually_checked_api,active,error_type
data.nj.gov,,False,['HTTPS and HTTP requests failed']
data.ohouston.org,,False,['HTTPS and HTTP requests failed']
data.opencolorado.org,,False,['HTTPS and HTTP requests failed']
data.openpolice.ru,,False,['HTTPS and HTTP requests failed']
data.openva.com,,False,['HTTPS and HTTP requests failed']
data.payakumbuhkota.go.id,,False,['HTTPS and HTTP requests failed']
data.peterborough.gov.uk,,False,['HTTPS and HTTP requests failed']
data.pm.go.th,,False,['HTTPS and HTTP requests failed']
data.reeep.org,,False,['HTTPS and HTTP requests failed']
data.rio.rj.gov.br,,False,['HTTPS and HTTP requests failed']
data.sa.edu.au,,False,['HTTPS and HTTP requests failed']
data.salzburgerland.com,,False,['HTTPS and HTTP requests failed']
data.sandiego.gov,,False,['HTTPS and HTTP requests failed']
data.seine-saint-denis.fr,,False,['HTTPS and HTTP requests failed']
data.sejong.go.kr,,False,['HTTPS and HTTP requests failed']
data.seoul.go.kr,,False,['HTTPS and HTTP requests failed']
data.sepa.gov.rs,,False,['HTTPS and HTTP requests failed']
data.suomi.fi,,False,['HTTPS and HTTP requests failed']
data.taichung.gov.tw,,False,['HTTPS and HTTP requests failed']
data.taxpayer.net,,False,['HTTPS and HTTP requests failed']
data.telangana.gov.in,,False,['HTTPS and HTTP requests failed']
data.tn.gov,,False,['HTTPS and HTTP requests failed']
data.ukmin.lt,,False,['HTTPS and HTTP requests failed']
data.ulm.de,,False,['HTTPS and HTTP requests failed']
data.upf.edu,,False,['HTTPS and HTTP requests failed']
data.ville-boissy.fr,,False,['HTTPS and HTTP requests failed']
data.ville-sucy.fr,,False,['HTTPS and HTTP requests failed']
data.visitprovence.com,,False,['HTTPS and HTTP requests failed']
data.weatherfordtx.gov,,False,['HTTPS and HTTP requests failed']
data.wellingtonfl.gov,,False,['HTTPS and HTTP requests failed']
data.wokingham.gov.uk,,False,['HTTPS and HTTP requests failed']
datacvr.virk.dk,,False,['HTTPS and HTTP requests failed']
datadriven.lahsa.com,,False,['HTTPS and HTTP requests failed']
